Genes	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
ENSRNOG00000054524	1	1	1	1	4	1	0	1	2	2
ENSRNOG00000006857	1	1	0	0	0	0	0	0	0	0
ENSRNOG00000052715	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000023679	10	7	2	5	3	6	2	6	10	10
ENSRNOG00000058257	0	0	0	0	0	0	0	0	3	0
ENSRNOG00000042954	1	0	0	0	1	1	0	0	0	0
ENSRNOG00000054499	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000005376	9	5	6	1	9	7	2	9	5	5
ENSRNOG00000030085	0	0	0	0	0	0	0	1	0	0
ENSRNOG00000050231	25	21	18	26	22	35	27	33	42	25
ENSRNOG00000053685	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000005615	146	146	106	110	72	139	83	105	161	85
ENSRNOG00000053679	1	4	1	4	3	2	1	3	0	2
ENSRNOG00000005890	543	434	432	495	354	549	454	540	578	424
ENSRNOG00000007270	35	24	38	22	24	31	51	41	50	17
ENSRNOG00000007544	0	0	0	1	0	1	0	0	0	0
ENSRNOG00000049829	5	6	1	3	11	12	5	8	23	11
ENSRNOG00000007740	0	2	0	0	0	1	0	0	0	0
ENSRNOG00000047464	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000005576	108	69	87	103	67	92	74	82	101	64
ENSRNOG00000060394	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000006069	59	51	57	51	35	47	39	50	62	42
ENSRNOG00000006476	0	0	0	0	0	0	1	1	0	1
ENSRNOG00000006491	2	2	1	0	0	3	2	3	2	0
ENSRNOG00000060081	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059101	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000006508	20	15	15	11	10	18	18	22	23	9
ENSRNOG00000006675	5	7	7	5	4	17	13	18	19	9
ENSRNOG00000006776	881	780	720	811	629	1179	1100	1047	1291	753
ENSRNOG00000057074	0	1	2	0	0	0	0	0	0	0
ENSRNOG00000007124	438	364	396	436	443	393	342	379	408	294
ENSRNOG00000038215	0	0	0	1	0	2	0	1	1	1
ENSRNOG00000007129	3	4	2	1	1	2	0	2	4	1
ENSRNOG00000007178	6	7	9	3	5	6	2	8	7	4
ENSRNOG00000028422	162	142	159	132	93	178	135	152	189	82
ENSRNOG00000007272	168	106	112	115	108	105	118	132	127	82
ENSRNOG00000007356	71	59	71	49	33	56	45	63	63	42
ENSRNOG00000007814	176	139	170	131	112	140	117	134	147	110
ENSRNOG00000008481	259	207	177	272	244	263	271	237	284	205
ENSRNOG00000008546	240	207	204	254	192	226	202	200	212	155
ENSRNOG00000009097	1192	882	979	830	652	1004	774	864	1041	707
ENSRNOG00000009484	1275	970	827	676	606	810	470	639	1038	602
ENSRNOG00000055675	23	19	22	12	6	19	19	20	33	14
ENSRNOG00000009545	273	236	166	158	135	171	102	138	144	101
ENSRNOG00000010284	1077	847	740	757	502	867	583	700	825	552
ENSRNOG00000057408	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000010716	31	30	28	31	12	34	14	27	27	17
ENSRNOG00000052430	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000010761	1	0	0	0	0	0	0	0	0	0
ENSRNOG00000010930	83	61	84	78	49	68	79	67	80	59
ENSRNOG00000011713	4	3	3	5	2	7	6	3	7	1
ENSRNOG00000061100	138	110	146	159	108	162	114	148	160	123
ENSRNOG00000012035	94	93	105	73	81	138	73	163	118	96
ENSRNOG00000012659	16	12	8	6	6	6	7	15	20	3
ENSRNOG00000012748	6	2	5	0	4	3	2	4	4	4
ENSRNOG00000012975	43	38	36	39	28	44	43	51	60	30
ENSRNOG00000013520	56	44	41	52	38	57	41	38	58	28
ENSRNOG00000013605	2	0	1	0	0	0	1	0	0	2
ENSRNOG00000013668	16	17	25	11	12	30	11	20	32	10
ENSRNOG00000038102	38	38	41	37	30	52	30	41	51	34
ENSRNOG00000014090	675	514	553	632	502	728	644	589	825	587
ENSRNOG00000014617	810	756	713	749	645	778	660	750	801	620
ENSRNOG00000014753	41	18	21	28	30	40	40	43	43	21
ENSRNOG00000060012	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000048931	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000015097	372	292	230	307	245	273	224	282	304	247
ENSRNOG00000058052	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054587	0	0	0	0	0	0	0	0	1	0
ENSRNOG00000042499	1	6	3	6	5	8	7	4	15	4
ENSRNOG00000059990	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000015581	11	11	8	7	9	9	3	7	9	3
ENSRNOG00000044036	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054564	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052655	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000005587	1183	980	1063	945	759	946	722	739	964	673
ENSRNOG00000059343	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000024604	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056380	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057963	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061169	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053327	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054012	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056166	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054234	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058403	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054341	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051717	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055428	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059176	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059214	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054428	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000030177	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054741	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056052	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052923	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000045682	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060746	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053275	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000048888	0	0	0	0	0	0	0	0	1	0
ENSRNOG00000051739	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055869	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000038336	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054440	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000049185	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060286	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059007	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061234	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000046854	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053033	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055291	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061699	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061133	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052849	0	0	0	0	0	0	0	0	1	0
ENSRNOG00000053228	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055528	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058405	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000046592	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000049501	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056290	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056830	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000049049	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057607	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055034	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057187	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060654	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056179	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058738	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047920	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052612	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058873	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055040	0	0	0	0	0	0	0	0	1	0
ENSRNOG00000045790	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000050159	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000049268	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054523	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061431	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000033938	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052747	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000005867	0	0	0	0	1	0	0	0	1	0
ENSRNOG00000057093	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058418	1	0	0	0	0	0	0	0	0	0
ENSRNOG00000043460	0	0	0	0	0	0	0	0	2	0
ENSRNOG00000058771	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000006003	0	0	0	0	0	1	0	0	1	0
ENSRNOG00000006093	2	1	1	0	1	0	0	1	0	1
ENSRNOG00000054121	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060570	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055191	0	0	1	0	0	0	1	0	0	0
ENSRNOG00000006151	3	10	5	5	0	79	49	48	13	1
ENSRNOG00000042570	0	2	0	0	1	1	1	0	0	0
ENSRNOG00000006360	0	1	1	0	2	0	0	1	0	0
ENSRNOG00000006486	0	0	1	0	0	0	1	0	1	0
ENSRNOG00000062035	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000006579	1	0	0	0	0	2	5	1	0	0
ENSRNOG00000021938	2	1	3	1	2	1	0	2	0	0
ENSRNOG00000061801	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000062076	0	0	1	1	0	0	0	0	0	1
ENSRNOG00000062093	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057830	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053528	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052497	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000038024	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059631	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060697	1	0	1	0	0	0	0	0	2	0
ENSRNOG00000060801	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000006888	17	11	5	11	6	6	17	16	18	9
ENSRNOG00000006968	61	47	59	50	49	67	62	53	87	39
ENSRNOG00000007118	8	5	3	4	5	1	1	4	9	2
ENSRNOG00000053836	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000005853	0	0	0	0	0	2	4	1	0	5
ENSRNOG00000006102	297	246	209	266	188	274	243	260	275	185
ENSRNOG00000006116	1246	1028	1062	1186	945	1181	932	1006	1119	907
ENSRNOG00000046843	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000006784	4	3	1	6	3	4	1	2	1	2
ENSRNOG00000007288	0	0	0	1	0	0	0	2	1	0
ENSRNOG00000007412	5	1	2	2	1	3	3	0	5	1
ENSRNOG00000061373	11	8	2	3	7	4	5	16	14	4
ENSRNOG00000022448	71	79	66	65	40	46	46	35	62	37
ENSRNOG00000007842	121	84	95	79	67	95	59	94	100	55
ENSRNOG00000008062	5	1	4	1	1	4	0	1	1	0
ENSRNOG00000055188	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000008360	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052374	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000022326	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053109	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000008648	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000008720	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000008873	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059679	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000009324	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061103	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055249	1	0	0	0	0	0	0	0	0	1
ENSRNOG00000061241	0	0	0	0	1	0	0	1	0	0
ENSRNOG00000053486	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061571	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051433	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000008466	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058785	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052279	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054176	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061902	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057972	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000009022	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060514	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000009917	2	1	0	0	2	0	1	3	2	1
ENSRNOG00000010048	518	355	356	326	270	383	303	324	441	261
ENSRNOG00000010378	2	0	3	2	1	2	3	1	1	0
ENSRNOG00000050816	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000010833	5	15	4	3	5	4	9	23	4	11
ENSRNOG00000061239	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059474	212	185	155	156	148	187	142	160	207	135
ENSRNOG00000021866	209	178	154	163	177	202	136	183	172	165
ENSRNOG00000011387	76	55	76	66	65	79	63	61	101	54
ENSRNOG00000011617	180	161	158	177	148	163	170	132	167	130
ENSRNOG00000029401	17	10	6	20	1	7	7	14	23	7
ENSRNOG00000060981	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000012227	23	14	17	24	13	10	14	22	22	8
ENSRNOG00000013137	2	0	3	1	0	1	2	0	0	0
ENSRNOG00000013222	1	0	0	0	0	0	0	0	0	0
ENSRNOG00000013261	1	0	0	0	0	0	1	0	2	0
ENSRNOG00000013573	0	0	2	0	0	1	1	0	1	0
ENSRNOG00000021402	14	16	8	7	9	18	8	15	23	7
ENSRNOG00000013712	381	315	337	259	153	374	257	247	325	167
ENSRNOG00000013911	10	6	7	5	4	6	6	6	13	6
ENSRNOG00000014092	23	32	17	10	11	19	9	17	28	17
ENSRNOG00000014501	245	217	229	176	158	181	155	176	246	151
ENSRNOG00000060457	0	2	0	2	0	0	0	0	0	0
ENSRNOG00000032788	778	637	607	594	449	879	781	824	929	451
ENSRNOG00000060883	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000015076	21	15	26	13	13	38	22	17	13	13
ENSRNOG00000059615	108	111	102	105	81	110	106	108	114	64
ENSRNOG00000057793	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057170	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056916	0	1	2	0	0	1	1	1	0	0
ENSRNOG00000055980	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058095	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000015455	8	6	9	10	9	8	5	4	6	6
ENSRNOG00000052508	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060772	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000028235	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059023	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000015493	2	0	1	0	0	0	0	0	1	0
ENSRNOG00000037871	46	43	29	39	46	38	32	27	23	25
ENSRNOG00000056009	285	202	222	203	145	195	176	142	204	120
ENSRNOG00000037863	0	1	0	0	0	0	0	0	0	0
ENSRNOG00000015589	39	29	40	45	17	43	38	57	38	38
ENSRNOG00000050483	30	19	17	21	8	23	18	22	20	11
ENSRNOG00000015630	131	83	106	89	97	130	114	112	127	78
ENSRNOG00000033202	16	9	18	7	10	15	8	14	30	12
ENSRNOG00000015719	3	1	1	0	0	0	1	1	1	1
ENSRNOG00000041673	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000022343	91	95	79	60	56	74	65	80	105	65
ENSRNOG00000015763	4	3	1	0	1	6	1	4	5	1
ENSRNOG00000015768	0	2	0	1	0	0	1	1	2	0
ENSRNOG00000061792	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047507	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000045933	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000015799	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000050645	0	0	0	1	0	0	0	0	0	0
ENSRNOG00000015851	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000045539	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058506	0	0	0	0	0	0	1	0	0	0
ENSRNOG00000015877	0	0	2	0	0	1	0	0	0	0
ENSRNOG00000015903	2	2	6	3	2	2	2	2	7	1
ENSRNOG00000057968	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057086	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058821	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000015818	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056962	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000022082	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000016182	8	5	8	6	6	5	2	3	4	6
ENSRNOG00000016273	25	20	22	13	10	21	16	18	23	19
ENSRNOG00000016507	2	4	0	0	0	1	0	1	0	0
ENSRNOG00000059486	0	0	0	2	1	0	0	2	0	0
ENSRNOG00000016704	232	208	204	163	159	238	215	200	230	163
ENSRNOG00000016813	21	12	15	7	8	8	12	11	16	10
ENSRNOG00000017380	53	37	33	42	25	50	30	36	57	30
ENSRNOG00000017708	253	205	197	173	129	240	153	191	240	128
ENSRNOG00000059100	2	6	5	4	2	10	3	7	4	9
ENSRNOG00000021723	0	0	0	0	0	0	0	1	0	0
ENSRNOG00000017710	0	0	1	0	0	0	0	0	0	0
ENSRNOG00000017720	96	70	94	102	73	90	79	73	112	64
ENSRNOG00000017838	100	86	82	107	79	130	79	108	113	68
ENSRNOG00000018159	183	168	152	144	96	183	147	194	161	98
ENSRNOG00000054530	1	0	0	0	0	0	0	0	0	0
ENSRNOG00000018317	227	191	164	203	152	213	171	228	254	183
ENSRNOG00000028747	0	0	0	0	1	0	0	0	1	0
ENSRNOG00000018410	82	57	59	89	58	84	78	103	76	50
ENSRNOG00000018507	248	217	233	243	273	278	224	239	264	180
ENSRNOG00000008678	30	48	26	34	21	45	19	35	36	18
ENSRNOG00000008838	0	0	1	0	0	0	0	0	0	1
ENSRNOG00000009256	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000037782	0	0	1	0	0	0	0	0	5	0
ENSRNOG00000009316	0	0	0	1	0	1	0	0	0	0
ENSRNOG00000009347	5	9	10	4	1	11	8	5	10	7
ENSRNOG00000009556	0	2	0	0	0	0	0	0	0	1
ENSRNOG00000029263	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051562	0	0	0	2	0	0	0	0	1	0
ENSRNOG00000043059	4	2	2	2	6	0	5	2	3	1
ENSRNOG00000031408	1	1	2	0	0	0	0	0	0	0
ENSRNOG00000009787	15	9	7	5	7	15	6	11	11	8
ENSRNOG00000010015	0	0	0	2	0	1	0	1	0	0
ENSRNOG00000037768	6	6	6	5	2	4	4	4	8	3
ENSRNOG00000010021	30	30	26	15	18	22	17	11	14	20
ENSRNOG00000010239	1093	801	908	947	827	873	774	851	959	838
ENSRNOG00000010474	381	313	336	297	252	402	334	319	407	231
ENSRNOG00000055698	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000027722	1	4	3	0	4	2	2	0	2	2
ENSRNOG00000052860	0	0	0	1	0	0	0	0	0	0
ENSRNOG00000012247	506	455	475	447	403	497	473	475	527	333
ENSRNOG00000046345	319	251	267	243	206	379	268	357	421	256
ENSRNOG00000059069	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054709	1	3	1	2	0	3	2	3	1	0
ENSRNOG00000012347	29	35	15	13	14	30	12	15	52	9
ENSRNOG00000034088	2	0	0	0	0	0	2	0	0	0
ENSRNOG00000034129	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060660	0	0	0	0	0	0	0	2	0	0
ENSRNOG00000012954	24	15	16	28	12	26	14	17	31	14
ENSRNOG00000053568	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000047151	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000013195	7	10	9	6	11	4	5	6	5	12
ENSRNOG00000060344	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000013743	123	106	101	92	86	112	126	118	149	96
ENSRNOG00000061868	211	153	137	144	96	171	145	160	175	122
ENSRNOG00000041892	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000014508	124	66	87	68	72	103	75	68	94	70
ENSRNOG00000015762	89	59	68	51	44	66	32	61	64	39
ENSRNOG00000016255	47	20	18	12	14	19	20	20	24	14
ENSRNOG00000016316	12	10	14	18	14	21	18	19	26	19
ENSRNOG00000016665	133	103	117	109	77	126	101	123	117	81
ENSRNOG00000053986	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058483	1	0	1	0	0	0	0	0	0	0
ENSRNOG00000026675	0	1	0	0	0	0	0	0	1	0
ENSRNOG00000055513	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060843	0	0	0	0	0	0	0	0	0	2
ENSRNOG00000044895	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054278	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000056075	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000017003	240	222	212	218	187	231	161	152	253	152
ENSRNOG00000060248	3	2	4	3	2	3	1	8	3	0
ENSRNOG00000058274	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000059810	117	94	64	78	68	64	65	64	72	59
ENSRNOG00000058136	0	2	2	0	0	0	0	0	0	0
ENSRNOG00000053471	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060373	0	0	0	0	1	0	0	0	0	0
ENSRNOG00000057461	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055542	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000031140	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000048956	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058628	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060112	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052138	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053093	1	0	0	0	0	1	0	0	0	0
ENSRNOG00000055950	0	0	0	0	2	1	0	0	0	0
ENSRNOG00000055287	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000049645	0	0	0	0	0	0	0	0	1	0
ENSRNOG00000019158	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000025934	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000025930	0	0	0	0	0	0	0	1	0	0
ENSRNOG00000043404	0	0	0	1	0	0	0	1	1	0
ENSRNOG00000025818	55	45	43	23	36	45	38	24	52	29
ENSRNOG00000017959	1	0	3	1	3	0	2	3	7	0
ENSRNOG00000017808	249	215	148	177	132	263	180	185	222	151
ENSRNOG00000005390	64	51	59	45	42	89	75	48	84	37
ENSRNOG00000006824	38	21	19	17	28	20	19	21	24	18
ENSRNOG00000007338	84	83	71	60	52	113	105	136	191	29
ENSRNOG00000051443	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000048782	2	2	0	1	1	0	2	3	0	1
ENSRNOG00000022466	1	3	3	5	2	2	4	3	4	5
ENSRNOG00000007519	77	66	62	41	50	61	62	87	88	65
ENSRNOG00000008274	30	17	21	25	18	19	25	21	33	20
ENSRNOG00000008733	22	13	21	20	20	32	25	31	28	14
ENSRNOG00000061864	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060350	1713	1143	1404	1182	926	1431	1171	965	1468	884
ENSRNOG00000045821	480	290	448	397	326	207	150	200	186	326
ENSRNOG00000047023	7	1	5	2	2	7	4	2	2	0
ENSRNOG00000009726	32	17	12	11	17	22	13	22	32	22
ENSRNOG00000009019	90	80	86	74	45	187	160	349	193	123
ENSRNOG00000010090	14	21	25	20	11	20	12	11	19	15
ENSRNOG00000022155	11	6	1	3	2	0	7	3	4	5
ENSRNOG00000010213	135	92	79	60	78	84	61	76	130	62
ENSRNOG00000010536	197	109	131	110	118	171	135	140	188	103
ENSRNOG00000010912	75	57	74	64	35	72	49	64	69	29
ENSRNOG00000011391	429	371	372	336	327	433	299	316	498	342
ENSRNOG00000011824	0	1	0	0	0	0	0	3	1	0
ENSRNOG00000012364	49	20	41	27	30	53	21	25	66	20
ENSRNOG00000023257	138	100	84	89	95	118	63	117	171	72
ENSRNOG00000059421	0	1	0	2	0	0	0	0	0	0
ENSRNOG00000054289	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000058757	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000060795	0	0	1	0	0	0	0	0	0	0
ENSRNOG00000044767	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000057351	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052345	1	3	0	2	0	1	0	0	0	0
ENSRNOG00000051463	0	0	0	0	0	0	0	1	0	0
ENSRNOG00000022060	136	76	74	83	56	124	106	97	140	77
ENSRNOG00000060744	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054656	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000052174	0	0	1	0	0	0	0	0	0	0
ENSRNOG00000056316	0	0	0	1	0	0	0	0	0	1
ENSRNOG00000012831	102	67	60	89	42	94	87	90	86	66
ENSRNOG00000058338	1	0	0	0	0	0	0	0	0	0
ENSRNOG00000012952	310	214	190	172	117	229	166	168	268	180
ENSRNOG00000056263	0	1	0	0	0	0	0	0	2	0
ENSRNOG00000013390	17	20	22	12	13	16	23	21	18	11
ENSRNOG00000005686	831	706	724	833	782	771	682	668	825	643
ENSRNOG00000024560	1	0	0	0	0	0	0	0	0	0
ENSRNOG00000053837	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000005830	0	0	0	0	0	0	0	0	1	0
ENSRNOG00000024533	62	54	53	62	49	65	66	74	68	49
ENSRNOG00000056462	259	198	204	179	129	234	151	178	221	130
ENSRNOG00000054884	1	0	0	0	0	0	0	2	0	0
ENSRNOG00000006221	228	156	195	217	200	231	194	190	240	163
ENSRNOG00000006818	284	234	220	224	205	335	302	332	367	239
ENSRNOG00000032443	110	80	125	89	82	114	54	72	118	105
ENSRNOG00000007764	44	29	24	24	44	55	34	36	45	19
ENSRNOG00000055920	0	0	0	0	1	0	0	0	0	1
ENSRNOG00000058065	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000008658	824	649	820	919	798	911	880	826	855	803
ENSRNOG00000049804	2	0	0	0	0	1	0	0	2	1
ENSRNOG00000051527	0	0	0	0	0	0	0	1	0	0
ENSRNOG00000009184	75	55	55	47	41	49	30	50	46	32
ENSRNOG00000043588	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000051491	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000010301	135	142	119	151	98	110	104	93	107	129
ENSRNOG00000010880	6	3	3	2	4	3	1	3	5	1
ENSRNOG00000030004	0	0	0	0	0	0	1	0	0	0
ENSRNOG00000010898	1	0	0	0	0	0	1	0	0	0
ENSRNOG00000033673	2	0	0	0	0	0	0	2	1	0
ENSRNOG00000061134	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000046964	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000048087	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000054758	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000005353	124	123	109	113	129	136	114	101	144	112
